[DBG-MEM]: n allocs: 43, alloc size: 454, non used memory by user: 3016, non used memory by user percetnage: 0.004453, elapsed time: 0.000000, freeded chunks percentage: 29.411765, non freeded chunks percetnage: 70.588235
[DBG-MEM]: n allocs: 22, alloc size: 517, non used memory by user: 4960, non used memory by user percetnage: 0.007324, elapsed time: 0.000000, freeded chunks percentage: 29.411765, non freeded chunks percetnage: 70.588235
[DBG-MEM]: n allocs: 58, alloc size: 1041, non used memory by user: 7776, non used memory by user percetnage: 0.011480, elapsed time: 0.000000, freeded chunks percentage: 34.210526, non freeded chunks percetnage: 65.789474
[DBG-MEM]: n allocs: 99, alloc size: 697, non used memory by user: 6744, non used memory by user percetnage: 0.009956, elapsed time: 0.000000, freeded chunks percentage: 25.925926, non freeded chunks percetnage: 74.074074
[DBG-MEM]: n allocs: 68, alloc size: 1665, non used memory by user: 12752, non used memory by user percetnage: 0.018819, elapsed time: 0.000000, freeded chunks percentage: 24.000000, non freeded chunks percetnage: 76.000000
[DBG-MEM]: n allocs: 99, alloc size: 997, non used memory by user: 11656, non used memory by user percetnage: 0.017205, elapsed time: 0.000000, freeded chunks percentage: 36.507937, non freeded chunks percetnage: 63.492063
[DBG-MEM]: n allocs: 93, alloc size: 2118, non used memory by user: 13576, non used memory by user percetnage: 0.020029, elapsed time: 0.000000, freeded chunks percentage: 28.358209, non freeded chunks percetnage: 71.641791
[DBG-MEM]: n allocs: 90, alloc size: 1814, non used memory by user: 16680, non used memory by user percetnage: 0.024609, elapsed time: 0.000000, freeded chunks percentage: 29.850746, non freeded chunks percetnage: 70.149254
[DBG-MEM]: n allocs: 149, alloc size: 1575, non used memory by user: 21616, non used memory by user percetnage: 0.031883, elapsed time: 0.000000, freeded chunks percentage: 31.372549, non freeded chunks percetnage: 68.627451
[DBG-MEM]: n allocs: 190, alloc size: 2528, non used memory by user: 36760, non used memory by user percetnage: 0.054175, elapsed time: 0.000000, freeded chunks percentage: 34.375000, non freeded chunks percetnage: 65.625000
[DBG-MEM]: n allocs: 182, alloc size: 1743, non used memory by user: 32032, non used memory by user percetnage: 0.047230, elapsed time: 0.000000, freeded chunks percentage: 33.076923, non freeded chunks percetnage: 66.923077
[DBG-MEM]: n allocs: 212, alloc size: 1974, non used memory by user: 38040, non used memory by user percetnage: 0.056058, elapsed time: 0.002456, freeded chunks percentage: 28.476821, non freeded chunks percetnage: 71.523179
[DBG-MEM]: n allocs: 219, alloc size: 2421, non used memory by user: 43528, non used memory by user percetnage: 0.064103, elapsed time: 0.000000, freeded chunks percentage: 27.397260, non freeded chunks percetnage: 72.602740
